Language,Threads,Tasks,Repetition,Energy_Joules,Peak_Memory_KB_RSS,Real_Time_Seconds
c_zig_cc,2,100,1,23.69,1080,.22000000000000000000
c_zig_cc,2,100,2,23.07,1056,.22000000000000000000
c_zig_cc,2,100,3,23.20,1076,.21000000000000000000
c_zig_cc,2,100,4,22.77,1072,.21000000000000000000
c_zig_cc,2,100,5,22.98,1072,.22000000000000000000
c_zig_cc,2,100,6,22.96,1024,.22000000000000000000
c_zig_cc,2,100,7,22.67,1024,.21000000000000000000
c_zig_cc,2,100,8,23.02,1024,.22000000000000000000
c_zig_cc,2,100,9,22.93,0,.22000000000000000000
c_zig_cc,2,100,10,22.77,1052,.22000000000000000000
c_zig_cc,4,100,1,25.86,1024,.22000000000000000000
c_zig_cc,4,100,2,25.39,0,.23000000000000000000
c_zig_cc,4,100,3,25.31,0,.23000000000000000000
c_zig_cc,4,100,4,25.49,1072,.23000000000000000000
c_zig_cc,4,100,5,25.33,1060,.22000000000000000000
c_zig_cc,4,100,6,25.29,0,.23000000000000000000
c_zig_cc,4,100,7,25.35,1080,.23000000000000000000
c_zig_cc,4,100,8,25.63,0,.23000000000000000000
c_zig_cc,4,100,9,25.44,1024,.22000000000000000000
c_zig_cc,4,100,10,25.35,1024,.23000000000000000000
c_zig_cc,8,100,1,29.85,1024,.24000000000000000000
c_zig_cc,8,100,2,29.74,1056,.24000000000000000000
c_zig_cc,8,100,3,29.25,1024,.24000000000000000000
c_zig_cc,8,100,4,29.65,1032,.24000000000000000000
c_zig_cc,8,100,5,29.40,1024,.24000000000000000000
c_zig_cc,8,100,6,29.93,1056,.24000000000000000000
c_zig_cc,8,100,7,29.38,1044,.24000000000000000000
c_zig_cc,8,100,8,29.80,1072,.24000000000000000000
c_zig_cc,8,100,9,29.48,1052,.24000000000000000000
c_zig_cc,8,100,10,29.45,1028,.24000000000000000000
c_zig_cc,16,100,1,37.73,0,.24000000000000000000
c_zig_cc,16,100,2,37.26,1024,.24000000000000000000
c_zig_cc,16,100,3,37.48,1056,.23000000000000000000
c_zig_cc,16,100,4,38.11,0,.24000000000000000000
c_zig_cc,16,100,5,37.41,1032,.24000000000000000000
c_zig_cc,16,100,6,37.25,1024,.24000000000000000000
c_zig_cc,16,100,7,37.25,0,.24000000000000000000
c_zig_cc,16,100,8,36.55,0,.24000000000000000000
c_zig_cc,16,100,9,36.60,1028,.24000000000000000000
c_zig_cc,16,100,10,37.14,1024,.24000000000000000000
c_zig_cc,32,100,1,51.29,1024,.24000000000000000000
c_zig_cc,32,100,2,52.07,1056,.24000000000000000000
c_zig_cc,32,100,3,51.38,1052,.24000000000000000000
c_zig_cc,32,100,4,50.81,1064,.24000000000000000000
c_zig_cc,32,100,5,50.88,1072,.24000000000000000000
c_zig_cc,32,100,6,51.01,1072,.24000000000000000000
c_zig_cc,32,100,7,51.30,1068,.24000000000000000000
c_zig_cc,32,100,8,50.97,1064,.24000000000000000000
c_zig_cc,32,100,9,51.02,1064,.24000000000000000000
c_zig_cc,32,100,10,51.42,1072,.24000000000000000000
c_zig_cc,64,100,1,74.04,1080,.26000000000000000000
c_zig_cc,64,100,2,83.24,1024,.25000000000000000000
c_zig_cc,64,100,3,73.40,1052,.25000000000000000000
c_zig_cc,64,100,4,73.59,0,.29000000000000000000
c_zig_cc,64,100,5,73.70,1084,.26000000000000000000
c_zig_cc,64,100,6,73.61,1024,.25000000000000000000
